transfer_id,sku,source_location,destination_location,ship_date,expected_receipt_date,receipt_date,transfer_qty,transfer_status
TR-20220103-000508,SKU-00032,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,9,received
TR-20220103-000885,SKU-00062,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,3,received
TR-20220103-000886,SKU-00062,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-04,3,received
TR-20220103-001437,SKU-00072,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-10,5,received
TR-20220103-002235,SKU-00118,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-04,9,received
TR-20220103-003059,SKU-00156,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,3,received
TR-20220103-003060,SKU-00156,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-09,3,received
TR-20220103-004523,SKU-00223,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,5,received
TR-20220103-004524,SKU-00223,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-04,8,received
TR-20220103-004686,SKU-00225,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-08,6,received
TR-20220103-004687,SKU-00225,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-12,6,received
TR-20220103-005725,SKU-00291,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-06,5,received
TR-20220103-005726,SKU-00291,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,8,received
TR-20220103-006262,SKU-00311,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,6,received
TR-20220103-006326,SKU-00321,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-05,4,received
TR-20220103-006563,SKU-00335,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-05,4,received
TR-20220103-007117,SKU-00362,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,6,received
TR-20220103-007205,SKU-00369,CD Santiago,Concepción,2022-01-03,2022-01-06,2022-01-05,6,received
TR-20220103-007242,SKU-00370,CD Santiago,Concepción,2022-01-03,2022-01-06,2022-01-05,5,received
TR-20220103-007380,SKU-00378,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-11,6,received
TR-20220103-007381,SKU-00378,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-05,3,received
TR-20220103-008228,SKU-00396,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,5,received
TR-20220103-008725,SKU-00403,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-06,8,received
TR-20220103-009156,SKU-00423,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-09,13,received
TR-20220103-009791,SKU-00455,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,9,received
TR-20220103-010086,SKU-00460,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-08,6,received
TR-20220103-010308,SKU-00480,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-07,5,received
TR-20220103-011204,SKU-00497,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-04,4,received
TR-20220103-011394,SKU-00509,CD Santiago,Concepción,2022-01-03,2022-01-06,2022-01-05,3,received
TR-20220103-011395,SKU-00509,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,5,received
TR-20220103-012006,SKU-00539,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-07,8,received
TR-20220103-012011,SKU-00540,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-05,4,received
TR-20220103-012282,SKU-00541,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,6,received
TR-20220103-012392,SKU-00551,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-08,7,received
TR-20220103-012432,SKU-00554,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-11,5,received
TR-20220103-013031,SKU-00581,CD Santiago,Concepción,2022-01-03,2022-01-06,2022-01-06,4,received
TR-20220103-013128,SKU-00582,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-12,3,received
TR-20220103-013759,SKU-00611,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,5,received
TR-20220103-014111,SKU-00622,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-05,5,received
TR-20220103-014411,SKU-00630,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,6,received
TR-20220103-014510,SKU-00641,CD Santiago,Lima,2022-01-03,2022-01-10,2022-01-11,6,received
TR-20220103-015568,SKU-00677,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-05,5,received
TR-20220103-016714,SKU-00747,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-06,9,received
TR-20220103-017130,SKU-00777,CD Santiago,Concepción,2022-01-03,2022-01-06,2022-01-05,12,received
TR-20220103-017292,SKU-00783,CD Santiago,Antofagasta,2022-01-03,2022-01-07,2022-01-07,5,received
TR-20220103-017293,SKU-00783,CD Santiago,Copiapó,2022-01-03,2022-01-06,2022-01-08,3,received
TR-20220103-017719,SKU-00791,CD Santiago,Santiago,2022-01-03,2022-01-04,2022-01-04,4,received
TR-20220104-000612,SKU-00044,CD Santiago,Concepción,2022-01-04,2022-01-07,2022-01-06,6,received
TR-20220104-001855,SKU-00099,CD Santiago,Santiago,2022-01-04,2022-01-05,2022-01-06,4,received
TR-20220104-002477,SKU-00124,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-08,3,received
TR-20220104-002731,SKU-00135,CD Santiago,Lima,2022-01-04,2022-01-11,2022-01-11,3,received
TR-20220104-003061,SKU-00156,CD Santiago,Antofagasta,2022-01-04,2022-01-08,2022-01-07,13,received
