po_id,po_line_id,sku,ordered_qty,unit_cost,line_amount,moq_applied
PO-20220101-001638,PO-20220101-001638-L01,SKU-00330,2,3130653.0,6261306.0,2
PO-20220101-003420,PO-20220101-003420-L01,SKU-00641,20,641125.0,12822500.0,5
PO-20220101-003687,PO-20220101-003687-L01,SKU-00695,2,2418994.0,4837988.0,1
PO-20220115-002230,PO-20220115-002230-L01,SKU-00422,20,545249.0,10904980.0,5
PO-20220116-003843,PO-20220116-003843-L01,SKU-00733,6,303174.0,1819044.0,2
PO-20220118-002849,PO-20220118-002849-L01,SKU-00540,20,196579.0,3931580.0,10
PO-20220119-001246,PO-20220119-001246-L01,SKU-00241,90,3231501.0,290835090.0,2
PO-20220119-002628,PO-20220119-002628-L01,SKU-00497,10,60120.0,601200.0,10
PO-20220119-003852,PO-20220119-003852-L01,SKU-00734,10,732725.0,7327250.0,1
PO-20220121-003271,PO-20220121-003271-L01,SKU-00611,11,1028594.0,11314534.0,1
PO-20220122-000307,PO-20220122-000307-L01,SKU-00064,18,3167567.0,57016206.0,2
PO-20220122-000699,PO-20220122-000699-L01,SKU-00137,3,2999425.0,8998275.0,1
PO-20220122-001466,PO-20220122-001466-L01,SKU-00291,30,3215123.0,96453690.0,2
PO-20220122-003797,PO-20220122-003797-L01,SKU-00721,2,1920997.0,3841994.0,1
PO-20220123-001662,PO-20220123-001662-L01,SKU-00335,25,461296.0,11532400.0,5
PO-20220123-002353,PO-20220123-002353-L01,SKU-00447,15,129708.0,1945620.0,5
PO-20220123-003132,PO-20220123-003132-L01,SKU-00585,10,1861347.0,18613470.0,1
PO-20220124-000132,PO-20220124-000132-L01,SKU-00031,4,504190.0,2016760.0,2
PO-20220124-000894,PO-20220124-000894-L01,SKU-00170,10,1506208.0,15062080.0,5
PO-20220124-003608,PO-20220124-003608-L01,SKU-00677,18,683338.0,12300084.0,1
PO-20220124-004211,PO-20220124-004211-L01,SKU-00795,4,452635.0,1810540.0,1
PO-20220125-000579,PO-20220125-000579-L01,SKU-00122,5,65529.0,327645.0,1
PO-20220125-002023,PO-20220125-002023-L01,SKU-00392,6,191018.0,1146108.0,2
PO-20220125-002285,PO-20220125-002285-L01,SKU-00434,15,62032.0,930480.0,5
PO-20220125-003433,PO-20220125-003433-L01,SKU-00643,8,1396503.0,11172024.0,2
PO-20220126-001815,PO-20220126-001815-L01,SKU-00362,15,1500272.0,22504080.0,5
PO-20220126-002684,PO-20220126-002684-L01,SKU-00509,22,359665.0,7912630.0,2
PO-20220126-002936,PO-20220126-002936-L01,SKU-00554,30,895859.0,26875770.0,10
PO-20220127-000213,PO-20220127-000213-L01,SKU-00051,8,2480820.0,19846560.0,1
PO-20220127-000823,PO-20220127-000823-L01,SKU-00159,4,464797.0,1859188.0,2
PO-20220127-003508,PO-20220127-003508-L01,SKU-00659,5,1320321.0,6601605.0,5
PO-20220128-000384,PO-20220128-000384-L01,SKU-00074,2,648966.0,1297932.0,2
PO-20220128-000529,PO-20220128-000529-L01,SKU-00110,8,840396.0,6723168.0,2
PO-20220128-001876,PO-20220128-001876-L01,SKU-00374,4,245607.0,982428.0,1
PO-20220128-002422,PO-20220128-002422-L01,SKU-00460,10,608244.0,6082440.0,5
PO-20220128-003083,PO-20220128-003083-L01,SKU-00581,8,1419823.0,11358584.0,1
PO-20220129-000680,PO-20220129-000680-L01,SKU-00135,30,4666987.0,140009610.0,5
PO-20220129-001534,PO-20220129-001534-L01,SKU-00303,12,315869.0,3790428.0,1
PO-20220129-003104,PO-20220129-003104-L01,SKU-00582,68,1364728.0,92801504.0,1
PO-20220131-003565,PO-20220131-003565-L01,SKU-00667,5,475424.0,2377120.0,1
PO-20220131-004256,PO-20220131-004256-L01,SKU-00800,4,911744.0,3646976.0,2
PO-20220201-000190,PO-20220201-000190-L01,SKU-00044,6,748818.0,4492908.0,2
PO-20220201-000628,PO-20220201-000628-L01,SKU-00126,2,84923.0,169846.0,2
PO-20220201-000922,PO-20220201-000922-L01,SKU-00176,5,63974.0,319870.0,5
PO-20220201-001439,PO-20220201-001439-L01,SKU-00284,6,891105.0,5346630.0,2
PO-20220201-002453,PO-20220201-002453-L01,SKU-00466,6,451556.0,2709336.0,1
PO-20220201-002574,PO-20220201-002574-L01,SKU-00488,6,486053.0,2916318.0,2
PO-20220202-001526,PO-20220202-001526-L01,SKU-00301,2,1496060.0,2992120.0,1
PO-20220203-000658,PO-20220203-000658-L01,SKU-00132,4,6909875.0,27639500.0,2
PO-20220203-001773,PO-20220203-001773-L01,SKU-00354,5,3979099.0,19895495.0,5
PO-20220203-002064,PO-20220203-002064-L01,SKU-00396,30,161673.0,4850190.0,5
PO-20220203-002506,PO-20220203-002506-L01,SKU-00480,15,1424253.0,21363795.0,5
PO-20220203-002878,PO-20220203-002878-L01,SKU-00541,12,4842274.0,58107288.0,1
PO-20220203-003543,PO-20220203-003543-L01,SKU-00665,8,74605.0,596840.0,1
PO-20220203-003749,PO-20220203-003749-L01,SKU-00705,4,1296962.0,5187848.0,1
PO-20220203-004087,PO-20220203-004087-L01,SKU-00781,5,486571.0,2432855.0,5
PO-20220204-002157,PO-20220204-002157-L01,SKU-00412,8,1994949.0,15959592.0,2
PO-20220204-002168,PO-20220204-002168-L01,SKU-00413,4,352123.0,1408492.0,2
PO-20220204-002547,PO-20220204-002547-L01,SKU-00487,44,3480525.0,153143100.0,1
PO-20220204-003365,PO-20220204-003365-L01,SKU-00629,5,961715.0,4808575.0,5
PO-20220205-001279,PO-20220205-001279-L01,SKU-00245,8,202514.0,1620112.0,1
PO-20220205-001709,PO-20220205-001709-L01,SKU-00346,8,1016475.0,8131800.0,2
PO-20220205-002208,PO-20220205-002208-L01,SKU-00419,5,872003.0,4360015.0,1
PO-20220205-004180,PO-20220205-004180-L01,SKU-00791,30,153307.0,4599210.0,5
PO-20220206-001850,PO-20220206-001850-L01,SKU-00370,8,100692.0,805536.0,2
PO-20220206-001931,PO-20220206-001931-L01,SKU-00380,46,5830370.0,268197020.0,1
PO-20220206-002237,PO-20220206-002237-L01,SKU-00423,30,5385.0,161550.0,10
PO-20220206-002901,PO-20220206-002901-L01,SKU-00546,3,134554.0,403662.0,1
PO-20220206-003347,PO-20220206-003347-L01,SKU-00623,2,2762941.0,5525882.0,1
PO-20220207-000306,PO-20220207-000306-L01,SKU-00063,4,1303300.0,5213200.0,2
PO-20220207-000874,PO-20220207-000874-L01,SKU-00168,15,965466.0,14481990.0,5
PO-20220207-001300,PO-20220207-001300-L01,SKU-00254,3,298523.0,895569.0,1
PO-20220207-001583,PO-20220207-001583-L01,SKU-00311,5,1705233.0,8526165.0,1
PO-20220207-002598,PO-20220207-002598-L01,SKU-00494,9,557908.0,5021172.0,1
PO-20220208-001053,PO-20220208-001053-L01,SKU-00202,2,2892690.0,5785380.0,2
PO-20220208-001565,PO-20220208-001565-L01,SKU-00308,10,1304949.0,13049490.0,2
PO-20220208-001840,PO-20220208-001840-L01,SKU-00369,10,362707.0,3627070.0,1
PO-20220208-002922,PO-20220208-002922-L01,SKU-00551,8,1296692.0,10373536.0,2
PO-20220208-003733,PO-20220208-003733-L01,SKU-00704,5,3829233.0,19146165.0,1
