po_id,supplier,destination_location,order_date,expected_receipt_date,order_status,currency,payment_terms_days
PO-20220115-000235,Industrial Flow Partners,CD Santiago,2022-01-15,2022-07-14,received,CLP,60
PO-20220115-001807,Pacific Seal Supply,CD Santiago,2022-01-15,2022-06-14,received,CLP,45
PO-20220115-003143,Pacific Seal Supply,CD Santiago,2022-01-15,2022-06-14,received,CLP,45
PO-20220116-001669,Maestranza Integral,CD Santiago,2022-01-16,2022-02-20,received,CLP,30
PO-20220116-002222,Industrial Flow Partners,CD Santiago,2022-01-16,2022-07-15,received,CLP,60
PO-20220117-002923,Hydroline Andina,CD Santiago,2022-01-17,2022-02-07,received,CLP,30
PO-20220118-001006,Andes Motion,CD Santiago,2022-01-18,2022-04-18,received,CLP,45
PO-20220118-001995,Industrial Flow Partners,CD Santiago,2022-01-18,2022-07-17,received,CLP,60
PO-20220120-002398,Hydroline Andina,CD Santiago,2022-01-20,2022-02-10,received,CLP,30
PO-20220121-002586,Maestranza Integral,CD Santiago,2022-01-21,2022-02-25,received,CLP,30
PO-20220122-000169,Hydroline Andina,CD Santiago,2022-01-22,2022-02-12,received,CLP,30
PO-20220122-001047,Andes Motion,CD Santiago,2022-01-22,2022-04-22,received,CLP,45
PO-20220123-000160,Industrial Flow Partners,CD Santiago,2022-01-23,2022-07-22,received,CLP,60
PO-20220123-000216,Hydroline Andina,CD Santiago,2022-01-23,2022-02-13,received,CLP,30
PO-20220123-002023,Andes Motion,CD Santiago,2022-01-23,2022-04-23,received,CLP,45
PO-20220124-000341,Hydroline Andina,CD Santiago,2022-01-24,2022-02-14,received,CLP,30
PO-20220125-000092,Andes Motion,CD Santiago,2022-01-25,2022-04-25,received,CLP,45
PO-20220125-001818,Andes Motion,CD Santiago,2022-01-25,2022-04-25,received,CLP,45
PO-20220125-002547,Pacific Seal Supply,CD Santiago,2022-01-25,2022-06-24,received,CLP,45
PO-20220125-002627,Andes Motion,CD Santiago,2022-01-25,2022-04-25,received,CLP,45
PO-20220125-002644,Industrial Flow Partners,CD Santiago,2022-01-25,2022-07-24,received,CLP,60
PO-20220126-000644,Industrial Flow Partners,CD Santiago,2022-01-26,2022-07-25,received,CLP,60
PO-20220126-001489,Tecfluid Norte,CD Santiago,2022-01-26,2022-03-22,received,CLP,30
PO-20220126-002067,Industrial Flow Partners,CD Santiago,2022-01-26,2022-07-25,received,CLP,60
PO-20220126-002075,Hydroline Andina,CD Santiago,2022-01-26,2022-02-16,received,CLP,30
PO-20220126-002459,Hydroline Andina,CD Santiago,2022-01-26,2022-02-16,received,CLP,30
PO-20220126-002792,Pacific Seal Supply,CD Santiago,2022-01-26,2022-06-25,received,CLP,45
PO-20220126-003075,Pacific Seal Supply,CD Santiago,2022-01-26,2022-06-25,received,CLP,45
PO-20220126-003081,Pacific Seal Supply,CD Santiago,2022-01-26,2022-06-25,received,CLP,45
PO-20220127-001052,Andes Motion,CD Santiago,2022-01-27,2022-04-27,received,CLP,45
PO-20220127-002831,Andes Motion,CD Santiago,2022-01-27,2022-04-27,received,CLP,45
PO-20220128-000457,Industrial Flow Partners,CD Santiago,2022-01-28,2022-07-27,received,CLP,60
PO-20220128-001869,Tecfluid Norte,CD Santiago,2022-01-28,2022-03-24,received,CLP,30
PO-20220129-000366,Hydroline Andina,CD Santiago,2022-01-29,2022-02-19,received,CLP,30
PO-20220129-000516,Hydroline Andina,CD Santiago,2022-01-29,2022-02-19,received,CLP,30
PO-20220129-000636,Maestranza Integral,CD Santiago,2022-01-29,2022-03-05,received,CLP,30
PO-20220129-001470,Andes Motion,CD Santiago,2022-01-29,2022-04-29,received,CLP,45
PO-20220129-001742,Pacific Seal Supply,CD Santiago,2022-01-29,2022-06-28,received,CLP,45
PO-20220129-001960,Pacific Seal Supply,CD Santiago,2022-01-29,2022-06-28,received,CLP,45
PO-20220129-002549,Maestranza Integral,CD Santiago,2022-01-29,2022-03-05,received,CLP,30
PO-20220130-000198,Pacific Seal Supply,CD Santiago,2022-01-30,2022-06-29,received,CLP,45
PO-20220130-000433,Industrial Flow Partners,CD Santiago,2022-01-30,2022-07-29,received,CLP,60
PO-20220131-001060,Tecfluid Norte,CD Santiago,2022-01-31,2022-03-27,received,CLP,30
PO-20220201-001845,Pacific Seal Supply,CD Santiago,2022-02-01,2022-07-01,received,CLP,45
PO-20220202-000006,Maestranza Integral,CD Santiago,2022-02-02,2022-03-09,received,CLP,30
PO-20220202-000246,Hydroline Andina,CD Santiago,2022-02-02,2022-02-23,received,CLP,30
PO-20220202-000947,Hydroline Andina,CD Santiago,2022-02-02,2022-02-23,received,CLP,30
PO-20220202-001179,Tecfluid Norte,CD Santiago,2022-02-02,2022-03-29,received,CLP,30
PO-20220202-002976,Hydroline Andina,CD Santiago,2022-02-02,2022-02-23,received,CLP,30
PO-20220203-001384,Hydroline Andina,CD Santiago,2022-02-03,2022-02-24,received,CLP,30
