receipt_id,po_id,po_line_id,sku,supplier,location,receipt_date,received_qty,unit_cost,total_cost,receipt_status
GR-20220203-004284,PO-20220119-003852,PO-20220119-003852-L01,SKU-00734,Hydroline Andina,CD Santiago,2022-02-03,10,732725.0,7327250.0,received
GR-20220210-003155,PO-20220118-002849,PO-20220118-002849-L01,SKU-00540,Hydroline Andina,CD Santiago,2022-02-10,20,196579.0,3931580.0,received
GR-20220215-000983,PO-20220124-000894,PO-20220124-000894-L01,SKU-00170,Hydroline Andina,CD Santiago,2022-02-15,10,1506208.0,15062080.0,received
GR-20220216-002968,PO-20220126-002684,PO-20220126-002684-L01,SKU-00509,Hydroline Andina,CD Santiago,2022-02-16,22,359665.0,7912630.0,received
GR-20220220-003255,PO-20220126-002936,PO-20220126-002936-L01,SKU-00554,Hydroline Andina,CD Santiago,2022-02-20,30,895859.0,26875770.0,received
GR-20220222-001677,PO-20220202-001526,PO-20220202-001526-L01,SKU-00301,Hydroline Andina,CD Santiago,2022-02-22,2,1496060.0,2992120.0,received
GR-20220222-002774,PO-20220203-002506,PO-20220203-002506-L01,SKU-00480,Hydroline Andina,CD Santiago,2022-02-22,5,1424253.0,7121265.0,partial
GR-20220222-002910,PO-20220119-002628,PO-20220119-002628-L01,SKU-00497,Maestranza Integral,CD Santiago,2022-02-22,10,60120.0,601200.0,received
GR-20220223-001950,PO-20220203-001773,PO-20220203-001773-L01,SKU-00354,Hydroline Andina,CD Santiago,2022-02-23,5,3979099.0,19895495.0,received
GR-20220224-000758,PO-20220122-000699,PO-20220122-000699-L01,SKU-00137,Maestranza Integral,CD Santiago,2022-02-24,3,2999425.0,8998275.0,received
GR-20220225-001580,PO-20220201-001439,PO-20220201-001439-L01,SKU-00284,Hydroline Andina,CD Santiago,2022-02-25,6,891105.0,5346630.0,received
GR-20220226-000959,PO-20220207-000874,PO-20220207-000874-L01,SKU-00168,Hydroline Andina,CD Santiago,2022-02-26,15,965466.0,14481990.0,received
GR-20220227-002124,PO-20220206-001931,PO-20220206-001931-L01,SKU-00380,Hydroline Andina,CD Santiago,2022-02-27,46,5830370.0,268197020.0,received
GR-20220227-004367,PO-20220209-003925,PO-20220209-003925-L01,SKU-00748,Hydroline Andina,CD Santiago,2022-02-27,5,1213260.0,6066300.0,received
GR-20220227-004681,PO-20220124-004211,PO-20220124-004211-L01,SKU-00795,Maestranza Integral,CD Santiago,2022-02-27,4,452635.0,1810540.0,received
GR-20220228-001720,PO-20220208-001565,PO-20220208-001565-L01,SKU-00308,Hydroline Andina,CD Santiago,2022-02-28,10,1304949.0,13049490.0,received
GR-20220228-002395,PO-20220204-002168,PO-20220204-002168-L01,SKU-00413,Hydroline Andina,CD Santiago,2022-02-28,4,352123.0,1408492.0,received
GR-20220228-004589,PO-20220210-004126,PO-20220210-004126-L01,SKU-00784,Hydroline Andina,CD Santiago,2022-02-28,8,2454699.0,19637592.0,received
GR-20220301-000329,PO-20220207-000306,PO-20220207-000306-L01,SKU-00063,Hydroline Andina,CD Santiago,2022-03-01,4,1303300.0,5213200.0,received
GR-20220301-002876,PO-20220207-002598,PO-20220207-002598-L01,SKU-00494,Hydroline Andina,CD Santiago,2022-03-01,9,557908.0,5021172.0,received
GR-20220302-000895,PO-20220127-000823,PO-20220127-000823-L01,SKU-00159,Maestranza Integral,CD Santiago,2022-03-02,4,464797.0,1859188.0,received
GR-20220302-003691,PO-20220211-003321,PO-20220211-003321-L01,SKU-00618,Hydroline Andina,CD Santiago,2022-03-02,2,1431242.0,2862484.0,partial
GR-20220303-002241,PO-20220209-002035,PO-20220209-002035-L01,SKU-00394,Hydroline Andina,CD Santiago,2022-03-03,10,621812.0,6218120.0,received
GR-20220305-000262,PO-20220216-000243,PO-20220216-000243-L01,SKU-00055,Hydroline Andina,CD Santiago,2022-03-05,2,64168.0,128336.0,received
GR-20220305-003004,PO-20220211-002715,PO-20220211-002715-L01,SKU-00513,Hydroline Andina,CD Santiago,2022-03-05,4,73110.0,292440.0,received
GR-20220307-002063,PO-20220128-001876,PO-20220128-001876-L01,SKU-00374,Maestranza Integral,CD Santiago,2022-03-07,4,245607.0,982428.0,received
GR-20220307-002438,PO-20220205-002208,PO-20220205-002208-L01,SKU-00419,Maestranza Integral,CD Santiago,2022-03-07,5,872003.0,4360015.0,received
GR-20220307-003423,PO-20220128-003083,PO-20220128-003083-L01,SKU-00581,Maestranza Integral,CD Santiago,2022-03-07,8,1419823.0,11358584.0,received
GR-20220307-004285,PO-20220213-003853,PO-20220213-003853-L01,SKU-00734,Hydroline Andina,CD Santiago,2022-03-07,12,743339.0,8920068.0,received
GR-20220308-004730,PO-20220131-004256,PO-20220131-004256-L01,SKU-00800,Maestranza Integral,CD Santiago,2022-03-08,4,911744.0,3646976.0,received
GR-20220309-002775,PO-20220203-002506,PO-20220203-002506-L01,SKU-00480,Hydroline Andina,CD Santiago,2022-03-09,10,1424253.0,14242530.0,received
GR-20220310-003692,PO-20220211-003321,PO-20220211-003321-L01,SKU-00618,Hydroline Andina,CD Santiago,2022-03-10,2,1431242.0,2862484.0,received
GR-20220311-000036,PO-20220223-000031,PO-20220223-000031-L01,SKU-00011,Hydroline Andina,CD Santiago,2022-03-11,2,608809.0,1217618.0,received
GR-20220311-003412,PO-20220217-003074,PO-20220217-003074-L01,SKU-00580,Hydroline Andina,CD Santiago,2022-03-11,2,2912775.0,5825550.0,received
GR-20220311-004548,PO-20220203-004087,PO-20220203-004087-L01,SKU-00781,Maestranza Integral,CD Santiago,2022-03-11,5,486571.0,2432855.0,received
GR-20220313-001610,PO-20220122-001466,PO-20220122-001466-L01,SKU-00291,Tecfluid Norte,CD Santiago,2022-03-13,30,3215123.0,96453690.0,received
GR-20220313-003536,PO-20220212-003182,PO-20220212-003182-L01,SKU-00591,Maestranza Integral,CD Santiago,2022-03-13,5,112392.0,561960.0,received
GR-20220313-004385,PO-20220209-003943,PO-20220209-003943-L01,SKU-00749,Maestranza Integral,CD Santiago,2022-03-13,10,21790.0,217900.0,received
GR-20220314-000330,PO-20220122-000307,PO-20220122-000307-L01,SKU-00064,Tecfluid Norte,CD Santiago,2022-03-14,18,3167567.0,57016206.0,received
GR-20220314-000933,PO-20220209-000853,PO-20220209-000853-L01,SKU-00165,Maestranza Integral,CD Santiago,2022-03-14,5,41197.0,205985.0,received
GR-20220314-001423,PO-20220207-001300,PO-20220207-001300-L01,SKU-00254,Maestranza Integral,CD Santiago,2022-03-14,3,298523.0,895569.0,received
GR-20220314-003214,PO-20220206-002901,PO-20220206-002901-L01,SKU-00546,Maestranza Integral,CD Santiago,2022-03-14,3,134554.0,403662.0,received
GR-20220314-004061,PO-20220211-003647,PO-20220211-003647-L01,SKU-00689,Maestranza Integral,CD Santiago,2022-03-14,2,12273.0,24546.0,received
GR-20220315-002471,PO-20220206-002237,PO-20220206-002237-L01,SKU-00423,Maestranza Integral,CD Santiago,2022-03-15,30,5385.0,161550.0,received
GR-20220315-003496,PO-20220222-003144,PO-20220222-003144-L01,SKU-00587,Hydroline Andina,CD Santiago,2022-03-15,20,497831.0,9956620.0,received
GR-20220316-001709,PO-20220228-001554,PO-20220228-001554-L01,SKU-00306,Hydroline Andina,CD Santiago,2022-03-16,5,2591662.0,12958310.0,received
GR-20220316-002877,PO-20220224-002599,PO-20220224-002599-L01,SKU-00494,Hydroline Andina,CD Santiago,2022-03-16,14,578723.0,8102122.0,received
GR-20220317-000684,PO-20220225-000631,PO-20220225-000631-L01,SKU-00127,Hydroline Andina,CD Santiago,2022-03-17,2,1749269.0,3498538.0,received
GR-20220318-001153,PO-20220208-001053,PO-20220208-001053-L01,SKU-00202,Maestranza Integral,CD Santiago,2022-03-18,2,2892690.0,5785380.0,received
GR-20220318-003480,PO-20220123-003132,PO-20220123-003132-L01,SKU-00585,Tecfluid Norte,CD Santiago,2022-03-18,5,1861347.0,9306735.0,partial
GR-20220319-000759,PO-20220213-000700,PO-20220213-000700-L01,SKU-00137,Maestranza Integral,CD Santiago,2022-03-19,6,3097553.0,18585318.0,received
GR-20220319-002125,PO-20220304-001932,PO-20220304-001932-L01,SKU-00380,Hydroline Andina,CD Santiago,2022-03-19,33,5511675.0,181885275.0,received
GR-20220319-002776,PO-20220302-002507,PO-20220302-002507-L01,SKU-00480,Hydroline Andina,CD Santiago,2022-03-19,15,1484509.0,22267635.0,received
GR-20220320-002681,PO-20220128-002422,PO-20220128-002422-L01,SKU-00460,Tecfluid Norte,CD Santiago,2022-03-20,10,608244.0,6082440.0,received
GR-20220320-003156,PO-20220228-002850,PO-20220228-002850-L01,SKU-00540,Hydroline Andina,CD Santiago,2022-03-20,50,204996.0,10249800.0,received
GR-20220320-004172,PO-20220203-003749,PO-20220203-003749-L01,SKU-00705,Tecfluid Norte,CD Santiago,2022-03-20,4,1296962.0,5187848.0,received
GR-20220321-000574,PO-20220128-000529,PO-20220128-000529-L01,SKU-00110,Tecfluid Norte,CD Santiago,2022-03-21,8,840396.0,6723168.0,received
GR-20220321-000627,PO-20220125-000579,PO-20220125-000579-L01,SKU-00122,Tecfluid Norte,CD Santiago,2022-03-21,5,65529.0,327645.0,received
GR-20220321-001029,PO-20220226-000937,PO-20220226-000937-L01,SKU-00181,Hydroline Andina,CD Santiago,2022-03-21,4,266169.0,1064676.0,received
GR-20220322-001187,PO-20220227-001082,PO-20220227-001082-L01,SKU-00206,Hydroline Andina,CD Santiago,2022-03-22,4,1262439.0,5049756.0,received
GR-20220322-003825,PO-20220125-003433,PO-20220125-003433-L01,SKU-00643,Tecfluid Norte,CD Santiago,2022-03-22,4,1396503.0,5586012.0,partial
GR-20220323-002817,PO-20220218-002543,PO-20220218-002543-L01,SKU-00486,Maestranza Integral,CD Santiago,2022-03-23,4,328556.0,1314224.0,received
GR-20220323-003559,PO-20220302-003201,PO-20220302-003201-L01,SKU-00593,Hydroline Andina,CD Santiago,2022-03-23,4,1262503.0,5050012.0,received
GR-20220324-002379,PO-20220204-002157,PO-20220204-002157-L01,SKU-00412,Tecfluid Norte,CD Santiago,2022-03-24,2,1994949.0,3989898.0,partial
GR-20220325-004155,PO-20220208-003733,PO-20220208-003733-L01,SKU-00704,Tecfluid Norte,CD Santiago,2022-03-25,5,3829233.0,19146165.0,received
GR-20220325-004253,PO-20220304-003823,PO-20220304-003823-L01,SKU-00729,Hydroline Andina,CD Santiago,2022-03-25,5,3280631.0,16403155.0,received
GR-20220326-000379,PO-20220306-000352,PO-20220306-000352-L01,SKU-00070,Hydroline Andina,CD Santiago,2022-03-26,17,1131712.0,19239104.0,received
GR-20220327-004286,PO-20220305-003854,PO-20220305-003854-L01,SKU-00734,Hydroline Andina,CD Santiago,2022-03-27,14,715580.0,10018120.0,received
GR-20220327-004368,PO-20220305-003926,PO-20220305-003926-L01,SKU-00748,Hydroline Andina,CD Santiago,2022-03-27,10,1194043.0,11940430.0,received
GR-20220329-000858,PO-20220215-000789,PO-20220215-000789-L01,SKU-00153,Maestranza Integral,CD Santiago,2022-03-29,4,14963.0,59852.0,received
GR-20220330-000711,PO-20220203-000658,PO-20220203-000658-L01,SKU-00132,Tecfluid Norte,CD Santiago,2022-03-30,4,6909875.0,27639500.0,received
GR-20220330-001740,PO-20220207-001583,PO-20220207-001583-L01,SKU-00311,Tecfluid Norte,CD Santiago,2022-03-30,5,1705233.0,8526165.0,received
GR-20220330-002807,PO-20220304-002534,PO-20220304-002534-L01,SKU-00483,Maestranza Integral,CD Santiago,2022-03-30,5,1474632.0,7373160.0,received
GR-20220330-003481,PO-20220123-003132,PO-20220123-003132-L01,SKU-00585,Tecfluid Norte,CD Santiago,2022-03-30,5,1861347.0,9306735.0,received
GR-20220331-001012,PO-20220201-000922,PO-20220201-000922-L01,SKU-00176,Tecfluid Norte,CD Santiago,2022-03-31,5,63974.0,319870.0,received
GR-20220331-002380,PO-20220204-002157,PO-20220204-002157-L01,SKU-00412,Tecfluid Norte,CD Santiago,2022-03-31,6,1994949.0,11969694.0,received
GR-20220331-003238,PO-20220208-002922,PO-20220208-002922-L01,SKU-00551,Tecfluid Norte,CD Santiago,2022-03-31,8,1296692.0,10373536.0,received
GR-20220401-001465,PO-20220209-001339,PO-20220209-001339-L01,SKU-00263,Tecfluid Norte,CD Santiago,2022-04-01,8,20084.0,160672.0,received
GR-20220401-002969,PO-20220312-002685,PO-20220312-002685-L01,SKU-00509,Hydroline Andina,CD Santiago,2022-04-01,8,347739.0,2781912.0,partial
