date,sku,location,quantity,unit_price,total_amount
2022-01-03,SKU-00006,Santiago,1,3927806.0,3927806.0
2022-01-03,SKU-00007,Lima,1,580334.0,580334.0
2022-01-03,SKU-00015,Copiapó,1,2132041.0,2132041.0
2022-01-03,SKU-00062,Copiapó,1,18217.0,18217.0
2022-01-03,SKU-00062,Lima,1,18217.0,18217.0
2022-01-03,SKU-00067,Antofagasta,1,165589.0,165589.0
2022-01-03,SKU-00070,Lima,1,2235271.0,2235271.0
2022-01-03,SKU-00070,Santiago,1,2235271.0,2235271.0
2022-01-03,SKU-00072,Antofagasta,1,370281.0,370281.0
2022-01-03,SKU-00072,Copiapó,1,370281.0,370281.0
2022-01-03,SKU-00106,Antofagasta,1,27610.0,27610.0
2022-01-03,SKU-00112,Santiago,1,560495.0,560495.0
2022-01-03,SKU-00118,Copiapó,2,2336534.0,4673068.0
2022-01-03,SKU-00118,Santiago,1,2336534.0,2336534.0
2022-01-03,SKU-00135,Antofagasta,1,3988682.0,3988682.0
2022-01-03,SKU-00156,Santiago,1,744553.0,744553.0
2022-01-03,SKU-00159,Santiago,1,18683.0,18683.0
2022-01-03,SKU-00168,Lima,1,427356.0,427356.0
2022-01-03,SKU-00168,Santiago,1,427356.0,427356.0
2022-01-03,SKU-00176,Concepción,1,938419.0,938419.0
2022-01-03,SKU-00178,Lima,1,1460652.0,1460652.0
2022-01-03,SKU-00193,Concepción,1,69714.0,69714.0
2022-01-03,SKU-00214,Concepción,1,1913059.0,1913059.0
2022-01-03,SKU-00241,Concepción,1,115738.0,115738.0
2022-01-03,SKU-00258,Concepción,1,391169.0,391169.0
2022-01-03,SKU-00261,Copiapó,1,4342717.0,4342717.0
2022-01-03,SKU-00263,CD Santiago,1,620875.0,620875.0
2022-01-03,SKU-00291,Lima,1,11911.0,11911.0
2022-01-03,SKU-00312,Lima,1,3119443.0,3119443.0
2022-01-03,SKU-00321,Lima,1,707238.0,707238.0
2022-01-03,SKU-00354,CD Santiago,1,655213.0,655213.0
2022-01-03,SKU-00380,Santiago,1,290533.0,290533.0
